Word,Location
chapter,"Page 1, Line ~1"
chapter,"Page 1, Line ~1"
digital,"Page 1, Line ~3"
age,"Page 1, Line ~3"
solve,"Page 1, Line ~3"
problem,"Page 1, Line ~3"
that,"Page 1, Line ~3"
all,"Page 1, Line ~4"
move,"Page 1, Line ~4"
across,"Page 1, Line ~5"
time,"Page 1, Line ~5"
order,"Page 1, Line ~5"
one,"Page 1, Line ~5"
must,"Page 1, Line ~5"
first,"Page 1, Line ~6"
there,"Page 1, Line ~6"
history,"Page 1, Line ~7"
way,"Page 1, Line ~8"
people,"Page 1, Line ~8"
exchange,"Page 1, Line ~8"
exchange,"Page 1, Line ~8"
one,"Page 1, Line ~9"
this,"Page 1, Line ~9"
process,"Page 1, Line ~9"
direct,"Page 1, Line ~9"
exchange,"Page 1, Line ~9"
only,"Page 1, Line ~10"
small,"Page 1, Line ~10"
only,"Page 1, Line ~11"
few,"Page 1, Line ~11"
economy,"Page 1, Line ~11"
people,"Page 1, Line ~12"
there,"Page 1, Line ~12"
much,"Page 1, Line ~13"
possible,"Page 1, Line ~13"
engage,"Page 1, Line ~14"
basic,"Page 1, Line ~15"
exchange,"Page 1, Line ~15"
among,"Page 1, Line ~15"
always,"Page 1, Line ~16"
human,"Page 1, Line ~16"
this,"Page 1, Line ~16"
only,"Page 1, Line ~17"
use,"Page 1, Line ~17"
people,"Page 2, Line ~1"
one,"Page 2, Line ~1"
more,"Page 2, Line ~2"
more,"Page 2, Line ~3"
exchange,"Page 2, Line ~3"
more,"Page 2, Line ~4"
they,"Page 2, Line ~4"
have,"Page 2, Line ~4"
keep,"Page 2, Line ~5"
more,"Page 2, Line ~7"
also,"Page 2, Line ~7"
problem,"Page 2, Line ~8"
you,"Page 2, Line ~8"
want,"Page 2, Line ~8"
acquire,"Page 2, Line ~8"
someone,"Page 2, Line ~9"
want,"Page 2, Line ~9"
what,"Page 2, Line ~9"
you,"Page 2, Line ~9"
have,"Page 2, Line ~9"
problem,"Page 2, Line ~10"
there,"Page 2, Line ~11"
three,"Page 2, Line ~11"
there,"Page 2, Line ~11"
what,"Page 2, Line ~12"
you,"Page 2, Line ~12"
want,"Page 2, Line ~12"
equal,"Page 2, Line ~13"
what,"Page 2, Line ~13"
you,"Page 2, Line ~13"
have,"Page 2, Line ~13"
one,"Page 2, Line ~14"
into,"Page 2, Line ~14"
sell,"Page 2, Line ~15"
you,"Page 2, Line ~15"
small,"Page 2, Line ~16"
pair,"Page 2, Line ~16"
want,"Page 2, Line ~17"
own,"Page 2, Line ~17"
all,"Page 2, Line ~17"
that,"Page 2, Line ~18"
there,"Page 2, Line ~19"
time,"Page 2, Line ~19"
what,"Page 2, Line ~19"
you,"Page 2, Line ~19"
want,"Page 2, Line ~20"
sell,"Page 2, Line ~20"
what,"Page 2, Line ~20"
you,"Page 2, Line ~20"
want,"Page 2, Line ~20"
more,"Page 2, Line ~21"
hard,"Page 2, Line ~21"
enough,"Page 2, Line ~22"
good,"Page 2, Line ~22"
exchange,"Page 2, Line ~22"
good,"Page 2, Line ~22"
one,"Page 2, Line ~23"
point,"Page 2, Line ~23"
easy,"Page 2, Line ~23"
enough,"Page 2, Line ~24"
car,"Page 2, Line ~24"
because,"Page 2, Line ~24"
they,"Page 2, Line ~25"
will,"Page 2, Line ~25"
before,"Page 2, Line ~25"
deal,"Page 2, Line ~25"
can,"Page 2, Line ~25"
there,"Page 2, Line ~25"
you,"Page 2, Line ~26"
want,"Page 2, Line ~26"
sell,"Page 2, Line ~27"
one,"Page 2, Line ~27"
place,"Page 2, Line ~27"
another,"Page 2, Line ~28"
three,"Page 2, Line ~28"
make,"Page 2, Line ~28"
direct,"Page 2, Line ~29"
exchange,"Page 2, Line ~29"
result,"Page 2, Line ~29"
people,"Page 2, Line ~29"
more,"Page 2, Line ~30"
exchange,"Page 2, Line ~30"
satisfy,"Page 2, Line ~30"
only,"Page 2, Line ~31"
way,"Page 2, Line ~31"
around,"Page 2, Line ~31"
this,"Page 2, Line ~31"
exchange,"Page 2, Line ~31"
you,"Page 2, Line ~31"
try,"Page 2, Line ~32"
find,"Page 2, Line ~32"
other,"Page 2, Line ~32"
good,"Page 2, Line ~32"
that,"Page 2, Line ~32"
another,"Page 2, Line ~32"
person,"Page 2, Line ~32"
want,"Page 2, Line ~32"
find,"Page 2, Line ~33"
someone,"Page 2, Line ~33"
will,"Page 2, Line ~33"
exchange,"Page 2, Line ~33"
you,"Page 2, Line ~33"
what,"Page 2, Line ~33"
you,"Page 2, Line ~34"
want,"Page 2, Line ~34"
that,"Page 2, Line ~34"
good,"Page 2, Line ~34"
exchange,"Page 2, Line ~35"
any,"Page 2, Line ~35"
good,"Page 2, Line ~35"
size,"Page 2, Line ~36"
economy,"Page 2, Line ~36"
people,"Page 2, Line ~37"
search,"Page 2, Line ~37"
that,"Page 2, Line ~38"
exchange,"Page 2, Line ~39"
they,"Page 2, Line ~39"
want,"Page 2, Line ~39"
more,"Page 2, Line ~39"
solution,"Page 2, Line ~39"
will,"Page 2, Line ~40"
only,"Page 2, Line ~40"
because,"Page 2, Line ~40"
upon,"Page 3, Line ~1"
will,"Page 3, Line ~1"
more,"Page 3, Line ~1"
exchange,"Page 3, Line ~2"
small,"Page 3, Line ~3"
number,"Page 3, Line ~3"
media,"Page 3, Line ~3"
trade,"Page 3, Line ~4"
good,"Page 3, Line ~4"
that,"Page 3, Line ~4"
exchange,"Page 3, Line ~5"
exchange,"Page 3, Line ~6"
that,"Page 3, Line ~6"
other,"Page 3, Line ~7"
good,"Page 3, Line ~7"
other,"Page 3, Line ~9"
capital,"Page 3, Line ~9"
other,"Page 3, Line ~10"
also,"Page 3, Line ~10"
produce,"Page 3, Line ~11"
income,"Page 3, Line ~11"
other,"Page 3, Line ~11"
three,"Page 3, Line ~12"
always,"Page 3, Line ~13"
risk,"Page 3, Line ~14"
carry,"Page 3, Line ~14"
liquid,"Page 3, Line ~15"
time,"Page 3, Line ~16"
they,"Page 3, Line ~16"
this,"Page 3, Line ~16"
can,"Page 3, Line ~16"
help,"Page 3, Line ~16"
there,"Page 3, Line ~17"
will,"Page 3, Line ~17"
always,"Page 3, Line ~17"
demand,"Page 3, Line ~17"
can,"Page 3, Line ~18"
never,"Page 3, Line ~18"
replace,"Page 3, Line ~18"
human,"Page 3, Line ~18"
life,"Page 3, Line ~18"
know,"Page 3, Line ~19"
sure,"Page 3, Line ~20"
when,"Page 3, Line ~20"
they,"Page 3, Line ~20"
will,"Page 3, Line ~20"
need,"Page 3, Line ~20"
what,"Page 3, Line ~20"
amount,"Page 3, Line ~20"
common,"Page 3, Line ~21"
wisdom,"Page 3, Line ~21"
all,"Page 3, Line ~21"
human,"Page 3, Line ~21"
want,"Page 3, Line ~22"
portion,"Page 3, Line ~22"
wealth,"Page 3, Line ~22"
because,"Page 3, Line ~23"
liquid,"Page 3, Line ~23"
because,"Page 3, Line ~25"
risk,"Page 3, Line ~25"
any,"Page 3, Line ~25"
price,"Page 3, Line ~26"
that,"Page 3, Line ~27"
have,"Page 3, Line ~27"
that,"Page 3, Line ~28"
have,"Page 3, Line ~28"
such,"Page 3, Line ~29"
human,"Page 3, Line ~29"
market,"Page 3, Line ~30"
father,"Page 3, Line ~30"
school,"Page 3, Line ~30"
key,"Page 3, Line ~32"
property,"Page 3, Line ~32"
that,"Page 3, Line ~32"
good,"Page 3, Line ~32"
that,"Page 3, Line ~33"
good,"Page 3, Line ~34"
can,"Page 3, Line ~34"
market,"Page 3, Line ~35"
there,"Page 4, Line ~1"
nothing,"Page 4, Line ~2"
that,"Page 4, Line ~2"
what,"Page 4, Line ~2"
used,"Page 4, Line ~3"
any,"Page 4, Line ~3"
person,"Page 4, Line ~3"
purchase,"Page 4, Line ~3"
own,"Page 4, Line ~4"
aim,"Page 4, Line ~4"
people,"Page 4, Line ~6"
what,"Page 4, Line ~6"
human,"Page 4, Line ~7"
have,"Page 4, Line ~7"
gold,"Page 4, Line ~8"
also,"Page 4, Line ~8"
large,"Page 4, Line ~9"
alcohol,"Page 4, Line ~9"
certain,"Page 4, Line ~10"
there,"Page 4, Line ~11"
choice,"Page 4, Line ~11"
there,"Page 4, Line ~11"
can,"Page 4, Line ~12"
they,"Page 4, Line ~13"
address,"Page 4, Line ~13"
three,"Page 4, Line ~13"
problem,"Page 4, Line ~14"
across,"Page 4, Line ~15"
across,"Page 4, Line ~15"
across,"Page 4, Line ~15"
good,"Page 4, Line ~16"
that,"Page 4, Line ~16"
across,"Page 4, Line ~16"
can,"Page 4, Line ~16"
into,"Page 4, Line ~16"
into,"Page 4, Line ~17"
sell,"Page 4, Line ~18"
across,"Page 4, Line ~18"
space,"Page 4, Line ~18"
good,"Page 4, Line ~19"
person,"Page 4, Line ~20"
this,"Page 4, Line ~20"
good,"Page 4, Line ~20"
media,"Page 4, Line ~21"
high,"Page 4, Line ~21"
unit,"Page 4, Line ~21"
very,"Page 4, Line ~22"
hard,"Page 4, Line ~22"
large,"Page 4, Line ~22"
number,"Page 4, Line ~23"
that,"Page 4, Line ~23"
across,"Page 4, Line ~24"
across,"Page 4, Line ~25"
time,"Page 4, Line ~25"
ability,"Page 4, Line ~25"
hold,"Page 4, Line ~26"
into,"Page 4, Line ~26"
wealth,"Page 4, Line ~27"
second,"Page 4, Line ~27"
good,"Page 4, Line ~28"
across,"Page 4, Line ~28"
time,"Page 4, Line ~28"
immune,"Page 4, Line ~29"
other,"Page 4, Line ~29"
safe,"Page 4, Line ~30"
say,"Page 4, Line ~30"
thought,"Page 4, Line ~30"
wealth,"Page 4, Line ~31"
long,"Page 4, Line ~31"
term,"Page 4, Line ~31"
lesson,"Page 4, Line ~32"
hard,"Page 4, Line ~32"
very,"Page 4, Line ~33"
little,"Page 4, Line ~33"
reason,"Page 4, Line ~33"
worry,"Page 4, Line ~33"
about,"Page 4, Line ~33"
wealth,"Page 4, Line ~33"
physical,"Page 4, Line ~34"
across,"Page 4, Line ~35"
possible,"Page 4, Line ~35"
good,"Page 4, Line ~35"
physical,"Page 4, Line ~36"
good,"Page 4, Line ~37"
also,"Page 5, Line ~1"
that,"Page 5, Line ~1"
supply,"Page 5, Line ~1"
good,"Page 5, Line ~1"
increase,"Page 5, Line ~2"
during,"Page 5, Line ~2"
during,"Page 5, Line ~2"
common,"Page 5, Line ~3"
history,"Page 5, Line ~3"
good,"Page 5, Line ~5"
supply,"Page 5, Line ~7"
hard,"Page 5, Line ~7"
increase,"Page 5, Line ~7"
hard,"Page 5, Line ~8"
easy,"Page 5, Line ~8"
supply,"Page 5, Line ~9"
large,"Page 5, Line ~9"
can,"Page 5, Line ~9"
two,"Page 5, Line ~10"
supply,"Page 5, Line ~10"
stock,"Page 5, Line ~11"
that,"Page 5, Line ~12"
that,"Page 5, Line ~13"
extra,"Page 5, Line ~14"
that,"Page 5, Line ~14"
will,"Page 5, Line ~14"
next,"Page 5, Line ~15"
time,"Page 5, Line ~15"
between,"Page 5, Line ~15"
stock,"Page 5, Line ~15"
good,"Page 5, Line ~17"
that,"Page 5, Line ~18"
one,"Page 5, Line ~18"
supply,"Page 5, Line ~19"
can,"Page 5, Line ~19"
people,"Page 5, Line ~19"
start,"Page 5, Line ~19"
such,"Page 5, Line ~20"
good,"Page 5, Line ~20"
stock,"Page 5, Line ~22"
more,"Page 5, Line ~22"
good,"Page 5, Line ~23"
over,"Page 5, Line ~23"
time,"Page 5, Line ~23"
more,"Page 5, Line ~24"
across,"Page 5, Line ~24"
people,"Page 5, Line ~24"
choose,"Page 5, Line ~24"
hard,"Page 5, Line ~24"
high,"Page 5, Line ~25"
increase,"Page 5, Line ~26"
demand,"Page 5, Line ~26"
make,"Page 5, Line ~28"
more,"Page 5, Line ~28"
because,"Page 5, Line ~28"
small,"Page 5, Line ~29"
large,"Page 5, Line ~29"
increase,"Page 5, Line ~29"
price,"Page 5, Line ~30"
other,"Page 5, Line ~31"
people,"Page 5, Line ~31"
wealth,"Page 5, Line ~31"
easy,"Page 5, Line ~32"
this,"Page 5, Line ~33"
good,"Page 5, Line ~33"
very,"Page 5, Line ~33"
large,"Page 5, Line ~33"
that,"Page 5, Line ~34"
wealth,"Page 5, Line ~35"
across,"Page 5, Line ~35"
like,"Page 5, Line ~36"
call,"Page 5, Line ~36"
this,"Page 5, Line ~36"
easy,"Page 5, Line ~36"
trap,"Page 5, Line ~36"
used,"Page 5, Line ~37"
will,"Page 5, Line ~37"
have,"Page 5, Line ~37"
supply,"Page 5, Line ~37"
supply,"Page 5, Line ~38"
can,"Page 5, Line ~38"
easily,"Page 5, Line ~38"
will,"Page 5, Line ~38"
destroy,"Page 5, Line ~38"
wealth,"Page 5, Line ~39"
used,"Page 6, Line ~1"
this,"Page 6, Line ~2"
trap,"Page 6, Line ~2"
that,"Page 6, Line ~2"
that,"Page 6, Line ~2"
used,"Page 6, Line ~2"
will,"Page 6, Line ~3"
have,"Page 6, Line ~3"
that,"Page 6, Line ~3"
good,"Page 6, Line ~4"
into,"Page 6, Line ~4"
across,"Page 6, Line ~5"
that,"Page 6, Line ~5"
assume,"Page 6, Line ~5"
make,"Page 6, Line ~7"
cheap,"Page 6, Line ~7"
will,"Page 6, Line ~7"
destroy,"Page 6, Line ~7"
wealth,"Page 6, Line ~7"
destroy,"Page 6, Line ~8"
save,"Page 6, Line ~8"
this,"Page 6, Line ~9"
supply,"Page 6, Line ~10"
good,"Page 6, Line ~11"
other,"Page 6, Line ~11"
media,"Page 6, Line ~12"
exchange,"Page 6, Line ~12"
more,"Page 6, Line ~12"
high,"Page 6, Line ~12"
will,"Page 6, Line ~13"
next,"Page 6, Line ~13"
used,"Page 6, Line ~13"
when,"Page 6, Line ~14"
they,"Page 6, Line ~14"
hard,"Page 6, Line ~14"
used,"Page 6, Line ~14"
because,"Page 6, Line ~15"
they,"Page 6, Line ~15"
hard,"Page 6, Line ~15"
rate,"Page 6, Line ~16"
increase,"Page 6, Line ~16"
more,"Page 6, Line ~17"
over,"Page 6, Line ~18"
when,"Page 6, Line ~18"
that,"Page 6, Line ~19"
used,"Page 6, Line ~20"
metal,"Page 6, Line ~20"
paper,"Page 6, Line ~20"
when,"Page 6, Line ~20"
shift,"Page 6, Line ~21"
other,"Page 6, Line ~22"
more,"Page 6, Line ~22"
century,"Page 6, Line ~22"
number,"Page 6, Line ~23"
such,"Page 6, Line ~23"
tragic,"Page 6, Line ~23"
media,"Page 6, Line ~24"
that,"Page 6, Line ~24"
that,"Page 6, Line ~25"
very,"Page 6, Line ~25"
supply,"Page 6, Line ~25"
other,"Page 6, Line ~26"
hard,"Page 6, Line ~26"
all,"Page 6, Line ~26"
between,"Page 6, Line ~27"
will,"Page 6, Line ~29"
next,"Page 6, Line ~29"
people,"Page 6, Line ~29"
use,"Page 6, Line ~30"
they,"Page 6, Line ~30"
please,"Page 6, Line ~30"
media,"Page 6, Line ~30"
that,"Page 6, Line ~31"
over,"Page 6, Line ~31"
use,"Page 6, Line ~32"
hard,"Page 6, Line ~32"
will,"Page 6, Line ~32"
benefit,"Page 6, Line ~32"
very,"Page 6, Line ~32"
little,"Page 6, Line ~32"
supply,"Page 6, Line ~33"
choose,"Page 6, Line ~34"
easy,"Page 6, Line ~34"
will,"Page 6, Line ~34"
supply,"Page 6, Line ~35"
market,"Page 6, Line ~35"
price,"Page 6, Line ~35"
harsh,"Page 6, Line ~36"
wealth,"Page 6, Line ~37"
will,"Page 6, Line ~37"
choose,"Page 6, Line ~37"
that,"Page 7, Line ~1"
have,"Page 7, Line ~3"
various,"Page 7, Line ~3"
choice,"Page 7, Line ~4"
what,"Page 7, Line ~5"
best,"Page 7, Line ~5"
always,"Page 7, Line ~5"
sound,"Page 7, Line ~8"
good,"Page 7, Line ~8"
market,"Page 7, Line ~9"
people,"Page 7, Line ~10"
market,"Page 7, Line ~11"
